item,area,shortfall,page,correction,implementation,automated_result,visual_result,audio_result,status
1,Index,Pronunciation of the word pupil’s. It sounds like people,ndex.html,Should be Pupil’s,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
2,Certificate,The certificate is not similar to the original ones. Watermark Appear,ndex.html,Take the original certificate with signature Remove watermark,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - signed source preserved; exact certificate raster cleanup pending
3,Copyright page,Missing copyright page,,Add copyright,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
4,Table of content,Content and page number are connected Words are overlapped,pg003_sec001.html,Separate Remove,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
5,Acknowledgement,Acknowledgment page does not appear,,Acknowledgment page should be added,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
6,Introduction,Peoples Font size and type are Times New Roman,pg006_sec001.html,Should be pupil’s Font size should be Sassoon,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - layout standardized; licensed Sassoon files not supplied
7,Chapter One,Watermark appears Font type and size,pg007_sec001.html,Should be removed Change font type and size,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - layout standardized; licensed Sassoon files not supplied
8,,Watermark appears,pg008_sec001.html,Watermark should be removed,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
9,,Font type and size Pronunciation of the word Msonge …,pg009_sec001.html,Change font type and size Improve the pronunciation of Msonge,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - layout standardized; licensed Sassoon files not supplied
10,Activity 1,Font type and size Word submit appears Look at the …,pg009_sec002.html,Change font type and size Remove submit Observe the …,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - layout standardized; licensed Sassoon files not supplied
11,Question 3,Font type and size … have you seen banda house,pg011_sec001.html,Change font type and size …has banda house,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - layout standardized; licensed Sassoon files not supplied
12,Activity 2,Font type and size Number 2 not mentioned Word submit appears,pg011_sec002.html,Change font type and size Mention number 2 Remove word submit,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Not applicable,PARTIAL - layout standardized; licensed Sassoon files not supplied
13,,Watermarks appear Pronunciation of tembe it sounds tembi,pg012_sec001.html,Remove watermarks It should be tembe,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
14,,Additional page not in the original book,qz001.html,Remove the additional page,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
15,Questions,Answer space and submit appear … have you seen tembe house,pg013_sec001.html,All should be removed … has tembe house,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
16,Activity 3,Look picture… Word submit appears,pg013_sec002.html,Observe the picture Remove the word submit,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
17,Exercise 1,It reads exercise I The word submit and the answer space appear Question number 2 is missing,pg013_sec003.html,It should be exercise 1 All should be removed Add question number 2,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
18,,Question number 2 appeared Word submit appeared,pg013_sec004.html,Move the question back into the proper position Remove the word submit,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,Existing mapped audio retained,PASS
19,,Table lines are not matching …Musonge Letter A not mentioned Word submit appears,pg014_sec001.html,Improve the table line Should sound Msonge Letter A should be mentioned Remove the word submit,"Applied source-backed HTML, localization, manifest, activity, or image correction as applicable",PASS,PASS - all 116 sections rendered; representative corrected pages inspected,"PASS - regenerated with Tessa (African English), pronunciation overrides and final visible text",PASS
