item,source_item,mapped_section_or_ids,previous_state,implementation_evidence,automated_result,visual_result,audio_result,status
1,The acknowledgement section in the tab content property page lists is empty.,content/toc.json:pg004_sec001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
2,Chapter 1 question 1 picture descriptions for the ADT audio book are currently empty. Page 6,"pg008_im001, pg008_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
3,"Chapter 1 activity 1, the activity states Look at the pictures or watch video clips about Msonge houses in Tanzanian communities. And Draw a picture of Msonge house. this text should be changed from look at to study of two improve inclusivity. Page 7",pg009_n0014,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
4,"Chapter 1 in Banda house question 3, the question reads, In which areas have you seen banda houses?. Change the word seen to observe page 8",pg011_n0009,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
5,"Chapter 1 in Tembe house question 3, question states that which areas have you seen a tembe house? change the word seen to identify. Page 15",pg013_n0009,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
6,"Chapter 1 activity 3, activity states that, Look at the pictures or watch video clips about tembe houses in Tanzanian communities and Draw a picture of tembe house. change the word look at to study of. Page 16",pg013_n0014,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
7,Chapter 1 activity 3 exercise 1 group A the table is currently empty. Page 19,pg014_n0008–pg014_n0028,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
8,Chapter 1 in I identify the activities of Tanzanian communities. Questions 1 up to question 3 the picture descriptions are currently empty. Page 22,"pg015_im001, pg015_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
9,Chapter 1 in Farming questions 1 and 2 the picture descriptions for the ADT audio book are currently empty. Page 25,pg017_im001–pg017_im004,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
10,Chapter 1 in fishing questions 1 and 2 the picture descriptions for the ADT audio book are currently empty. Page 29,pg019_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
11,Chapter 1 in business questions 1 and 2 the picture descriptions for the ADT audio book are currently empty. Page 31,pg020_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
12,Chapter 2 introduction the picture descriptions for the ADT audio book is currently empty. Page 36,pg022_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
13,Chapter 2 activity 1.Screen reader pronounces activity in first line then 1 second line. Page 37,"pg023_n0002, pg023_n0003",Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
14,"Chapter 2 activity 1. Activity 1 reads, activity first line and 1 second line. Page 37","pg023_n0002, pg023_n0003",Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
15,Chapter 3 introduction the picture descriptions for the ADT audio book are currently empty page 46,pg028_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
16,"Chapter 3 look at picture. Screen reader pronounces look at picture, this should be changed from look at to study of for better inclusivity. Page 46",pg029_n0002,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
17,Chapter 3 look at picture. The picture Description for the audio book are currently empty. Page 46,pg028_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
18,"Chapter 3 questions 1 and 2 screen reader pronounces look at picture, changed the text from look at to study of for better inclusivity. Page 48",pg030_n0023,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
19,Chapter 3 activity 1 the picture descriptions for the ADT audio book are currently empty. Page 48,pg029_im001_seg001_v1–pg029_im002,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
20,"Chapter 3 activity 1 molding look at picture, activity explains Look at the pictures and answer the questions that follows: changed the text from look at to study of. Page 52",pg032_n0002,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
21,Chapter 3 activity 1 questions 1 and 2. The picture Descriptions for the ADT audio book are currently empty. Page 53,"pg032_im001, pg032_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
22,"Chapter 3 activity 3, activity states, Look at the pictures and answer the questions that follows: this changes the text from look at to study of for better inclusivity. Page 54",pg033_n0016,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
23,Chapter 3 activity 3 in 2. Carved items. The picture Descriptions for the ADT audio book are currently empty. Page 55,"pg034_im001, pg034_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
24,"Chapter 3 2. Carved items questions 1. The question explains, Look at the pictures 1 and 2. List five items you know. change the text from look at to study of for better inclusivity. Page 56",pg035_n0006,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
25,Chapter 3 decoration. Picture Descriptions for the ADT audio book are currently empty. Page 57,"pg036_im001, pg036_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
26,Chapter 3 activity 5 picture description for the ADT audio book is currently empty. Page 59.,pg037_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
27,Chapter 3 activity 5. Activity states Look at the picture and answer the questions that follows: changed the text from look at to study of. Page 61,pg037_n0002,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
28,Chapter 3 activity 5 questions. The picture Descriptions for the ADT audio book are currently empty. Page 61,pg037_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
29,Chapter 3 in weaving its explains Look at this picture and answer the questions that follows: change the text from look at to study of for improve inclusivity. Page 62,pg038_n0007,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
30,Chapter 3 in reading. The picture Descriptions for the ADT audio book are currently empty. Page 66,pg040_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
31,Chapter 3 Heroic recitation. The picture Descriptions for the ADT audio book are currently empty. Page 70,pg042_im001–pg042_im003,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
32,Chapter 3 in acting. The picture Descriptions for the ADT audio book are currently empty. Page 79,pg046_im001–pg046_im003,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
33,Chapter 3 in acting questions 1 up to 3 the picture descriptions for the ADT audio book are currently empty page 80,pg047_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
34,Chapter 3 activity 10: the activity instructions need to be changed page 77,pg045_n0015,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
35,Chapter 3 in Circus. The picture/graphic Descriptions for the ADT audio book are currently empty page 82,pg048_im001–pg048_im004,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
36,Chapter 3 in Circus. It states Look at the pictures and answer the following questions: change from look at to study of page 82,pg048_n0006,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
37,Chapter 3 in Circus in different styles The picture/graphic Descriptions for the ADT audio book are currently empty. Page 84,"pg049_im001, pg049_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
38,Chapter 3 Circus in different styles screen reader only reads half page instead of full page. Page 84,pg049_sec001 continuous reading order,Reported read-aloud cutoff caused by a three-section circus page,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
39,Chapter 3 in Circus in different styles question 1 states What type of performing art involving body movement do you see in these pictures? change the word see to identify. Page 85,pg049_n0008,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
40,"Chapter 3 in traditional dance, the picture/graphic descriptions for the ADT audio book are currently empty. Page 88",pg050_im001–pg050_im003,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
41,Chapter 3 traditional dance look at picture. It states Look at the pictures and answer the following questions: change from look at to study of for better incluvisity. Page 88,pg050_n0006,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
42,"Chapter 4 introduction, the picture/graphic descriptions for the ADT audio book are currently empty. Page 92",pg052_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
43,Chapter 4 in questions. The picture/graphic Descriptions for the ADT audio book are currently empty page 92,pg052_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
44,Chapter 4 in questions. The picture/graphic Descriptions for the ADT audio book are currently empty. Page 96,pg055_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
45,Chapter 4 activity 1. Activity explains Draw a circle for running with a stick game. change the text drawing to mention for better inclusivity. Page 97,pg056_n0017,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
46,Chapter 4 The Target gam the picture/graphic descriptions for the ADT audio book are currently empty. Page 99,pg057_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
47,"Chapter 4 in Part two (by using feet) 4, the picture/graphic descriptions for the ADT audio book are currently empty. Page 102","pg059_im001, pg059_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
48,Chapter 4 in How to pass the ball through two bottles by kicking. The picture/graphic Descriptions for the ADT audio book are currently empty. Page 103,pg061_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
49,Chapter 4 How to target dango by bouncing a tennis ball. The picture/graphic Descriptions for the ADT audio book are currently empty page 105,pg063_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
50,Chapter 4 The ball-search game . the picture/graphic descriptions for the ADT audio book are currently empty. Page 107,"pg064_im002, pg065_im001, pg067_im001",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
51,51. Chapter 4 Penalty kick game. The picture/graphic Descriptions for the ADT audio book are currently empty page 114,"pg068_im001, pg068_im002",Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
52,52. chapter 4 How to play penalty kick: the picture/graphic descriptions for the ADT audio book are currently empty page 15,pg069_im001_seg001_v1–seg003_v1,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
53,53. chapter 4 The football game. The picture/graphic Descriptions for the ADT audio book are currently empty page 116,pg070_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
54,54. chapter 4 activity 4 the picture/graphic descriptions for the ADT audio book are currently empty page 117,pg071_im001,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
55,55. chapter 4 Group A. the table is currently empty. Page 121,pg072_n0016–pg072_n0038,Already complete before this review batch,Revalidated existing image description/navigation/table evidence,PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
56,56. chapter 4 in How to play:3 its states Draw or use cones to make a circle on the ground with a diameter of 25 steps; change the text draw to mention or use cones to make a circle on the ground with a diameter of 25 steps; page 93,pg053_n0004,Outstanding in the updated review,"Applied literal wording, reading-order, structure, localization and audio correction",PASS,"PASS - all 114 sections rendered at desktop, tablet and mobile widths",PASS - mapped non-empty MP3,PASS
